array,site,buffer_dist,array_visit,ndvi
LU1,LU1_11,50,LU1_2022,0.561675
LU1,LU1_40,50,LU1_2022,0.7274364583333335
LU1,LU1_6,50,LU1_2022,0.7604770833333333
LU1,LU1_10,50,LU1_2022,0.7489652777777778
LU1,LU1_43,50,LU1_2022,0.6281734375000001
LU1,LU1_71,50,LU1_2022,0.6424729166666667
LU1,LU1_22,50,LU1_2022,0.6289687500000001
LU1,LU1_60,50,LU1_2022,0.6486229166666667
LU1,LU1_78,50,LU1_2022,0.6481229166666668
LU1,LU1_46,50,LU1_2022,0.6328750000000001
LU1,LU1_82,50,LU1_2022,0.7002458333333333
LU1,LU1_27,50,LU1_2022,0.63238125
LU9,LU9_5,50,LU9_2023,0.6016229166666667
LU9,LU9_6,50,LU9_2023,0.75281875
LU9,LU9_7,50,LU9_2023,0.7234947916666667
LU9,LU9_8,50,LU9_2023,0.7651630208333333
LU9,LU9_100,50,LU9_2023,0.6259395833333333
LU9,LU9_102,50,LU9_2023,0.7967666666666667
LU9,LU9_106,50,LU9_2023,0.6704729166666668
LU9,LU9_112,50,LU9_2023,0.6736968750000001
LU9,LU9_113,50,LU9_2023,0.6412916666666667
LU9,LU9_12,50,LU9_2023,0.76055625
LU9,LU9_13,50,LU9_2023,0.6858395833333334
LU9,LU9_18,50,LU9_2023,0.7520104166666667
LU9,LU9_21,50,LU9_2023,0.6983270833333334
LU9,LU9_24,50,LU9_2023,0.7480041666666667
LU9,LU9_28,50,LU9_2023,0.7507572916666667
LU9,LU9_29,50,LU9_2023,0.745325
LU9,LU9_30,50,LU9_2023,0.6653979166666667
LU9,LU9_31,50,LU9_2023,0.7398520833333333
LU9,LU9_32,50,LU9_2023,0.7812250000000001
LU9,LU9_33,50,LU9_2023,0.757021875
LU9,LU9_39,50,LU9_2023,0.6968229166666667
LU9,LU9_41,50,LU9_2023,0.76848125
LU9,LU9_44,50,LU9_2023,0.6952208333333333
LU9,LU9_51,50,LU9_2023,0.7003083333333333
LU9,LU9_55,50,LU9_2023,0.7049854166666667
LU9,LU9_57,50,LU9_2023,0.6890375000000001
LU9,LU9_62,50,LU9_2023,0.7345208333333333
LU9,LU9_63,50,LU9_2023,0.6955041666666667
LU9,LU9_64,50,LU9_2023,0.7214958333333333
LU9,LU9_65,50,LU9_2023,0.7277291666666668
LU9,LU9_67,50,LU9_2023,0.6797125
LU9,LU9_68,50,LU9_2023,0.7076770833333333
LU9,LU9_72,50,LU9_2023,0.7430901041666667
LU9,LU9_73,50,LU9_2023,0.7040864583333334
LU9,LU9_75,50,LU9_2023,0.6923083333333333
LU9,LU9_76,50,LU9_2023,0.7190000000000001
LU9,LU9_77,50,LU9_2023,0.6951708333333333
LU9,LU9_79,50,LU9_2023,0.7257833333333333
LU9,LU9_80,50,LU9_2023,0.72126875
LU9,LU9_81,50,LU9_2023,0.6908416666666667
LU9,LU9_82,50,LU9_2023,0.6953572916666666
LU9,LU9_85,50,LU9_2023,0.7004625
LU9,LU9_86,50,LU9_2023,0.6978052083333335
LU9,LU9_87,50,LU9_2023,0.7049145833333333
LU9,LU9_90,50,LU9_2023,0.6916270833333333
LU9,LU9_93,50,LU9_2023,0.7924416666666667
LU9,LU9_94,50,LU9_2023,0.792875
LU9,LU9_96,50,LU9_2023,0.6711729166666667
LU9,LU9_98,50,LU9_2023,0.676425
LU9,LU9_27,50,LU9_2023,0.7150135416666668
LU14,LU14_3,50,LU14_2023,0.7407
LU14,LU14_7,50,LU14_2023,0.7634489583333334
LU14,LU14_8,50,LU14_2023,0.7006458333333333
LU14,LU14_9,50,LU14_2023,0.7045739583333335
LU14,LU14_100,50,LU14_2023,0.69673125
LU14,LU14_102,50,LU14_2023,0.7245916666666667
LU14,LU14_105,50,LU14_2023,0.7585895833333334
LU14,LU14_110,50,LU14_2023,0.6775375
LU14,LU14_114,50,LU14_2023,0.7140802083333333
LU14,LU14_115,50,LU14_2023,0.7007770833333333
LU14,LU14_120,50,LU14_2023,0.6914104166666667
LU14,LU14_121,50,LU14_2023,0.7063708333333334
